2022-05-17 17:41:47,233  INFO WorkerThread Start
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:48,450 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:48,450 DEBUG MainThread Compression method 0
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:48,450 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:48,451 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:49,719 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:49,720 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:49,720 DEBUG MainThread Compression method 0
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:49,720 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:50,214  INFO MainThread Loading face detector...
2022-05-17 17:41:50,232  INFO MainThread Loading Model...
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (1934.0, 1494.5)
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (1072.0, 224.5)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (1933.5, 228.5)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (1053.0, 643.0)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (186.0, 181.0)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (1486.5, 1515.0)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (2369.0, 1509.5)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (1501.0, 218.0)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (1082.0, 1501.0)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (1500.0, 1061.5)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (1928.0, 644.5)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (2358.0, 649.5)
2022-05-17 17:41:55,090 DEBUG MainThread Live detection COG: (202.0, 1082.0)
2022-05-17 17:41:55,090 DEBUG MainThread Face detection COG: (2360.0, 1518.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1938.0, 1518.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1494.0, 672.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1938.0, 1094.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1494.0, 1074.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1494.0, 230.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (632.0, 1094.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (2348.0, 1060.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1082.0, 1522.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1034.0, 654.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (2342.0, 654.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1918.0, 230.0)
2022-05-17 17:41:55,091 DEBUG MainThread Face detection COG: (1476.0, 1536.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (644.0, 208.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (632.0, 654.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (190.0, 654.0)
